name,TFSI,TFSI-flip,EC,EC-flip,Li,Li-flip,TFSI-2,TFSI-2-flip,EC-2,EC-2-flip,Li-2,Li-2-flip,dr,conductivity
a1-b1,1.807391304347826,82.41434782608695,2.292173913043478,49.176086956521736,0.0269565217391304,6.86695652173913,3.011304347826087,158.25,0.9743478260869564,131.55739130434782,0.3234782608695652,50.14739130434783,1.2309565217391305,0.5382010863
a1-b3,1.5514285714285714,66.37619047619047,2.6019047619047617,55.97857142857143,0.0323809523809523,10.821428571428571,2.483809523809524,141.8738095238095,1.0104761904761903,141.06238095238095,0.3257142857142857,56.00809523809524,1.9959952380952384,0.6771904799
a1-b5,1.5064,64.0492,2.6548,51.5804,0.0272,7.6596,2.2508,135.398,0.8636,133.8656,0.2288,43.3336,2.795224,1.105681226
a2-b1,1.5635,66.9225,2.579,47.684,0.016,7.035,2.36,135.0705,0.791,119.498,0.224,35.075,1.99973,0.5663974789
a2-b3,1.539090909090909,63.145,2.602727272727273,47.58681818181818,0.0209090909090909,7.171818181818182,2.255909090909091,129.93227272727273,0.764090909090909,126.74681818181818,0.2181818181818181,39.79727272727273,2.8315318181818183,1.080280018
a2-b5,1.596818181818182,63.92727272727273,2.565,45.83409090909091,0.0145454545454545,7.045,2.3304545454545456,129.90136363636364,0.7363636363636363,126.51045454545456,0.2181818181818181,43.38045454545455,3.492072727272727,1.545390887
a3-b1,1.588095238095238,62.75047619047619,2.526666666666667,39.87952380952381,0.0133333333333333,5.303809523809524,2.321904761904762,126.26619047619047,0.6009523809523809,109.92714285714284,0.1695238095238095,33.57809523809524,2.609785714285714,1.030808177
a3-b3,1.6478947368421053,61.74157894736842,2.511052631578947,43.84105263157895,0.0252631578947368,7.751052631578947,2.3426315789473686,123.24157894736842,0.7552631578947369,123.76368421052632,0.2410526315789473,45.39421052631579,3.2253789473684207,1.393177135
a3-b5,1.6826315789473685,63.63894736842105,2.463684210526316,42.58157894736842,0.0221052631578947,6.369473684210527,2.434736842105264,125.89947368421052,0.6568421052631579,119.89368421052632,0.2021052631578947,40.026315789473685,3.821178947368421,1.153508726
a4-b1,1.7536842105263155,60.84736842105263,2.4078947368421053,34.485263157894735,0.0168421052631578,5.775789473684211,2.463157894736842,119.51684210526317,0.5421052631578948,102.25157894736842,0.1978947368421052,35.91105263157895,3.0357578947368418,0.8248114556
a4-b3,1.6805263157894736,62.35631578947368,2.464736842105263,39.7721052631579,0.0147368421052631,6.33421052631579,2.413157894736842,123.27684210526316,0.6336842105263157,115.22736842105265,0.22,40.20947368421053,3.496773684210526,1.386691584
a4-b5,1.698421052631579,66.81,2.413684210526316,43.89473684210526,0.0178947368421052,6.474736842105263,2.4142105263157894,126.79631578947368,0.651578947368421,115.59368421052632,0.2231578947368421,42.86842105263158,4.201894736842106,0.9110031774
